PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Vallebona a. s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;Vallebona a. s.;0,00;0,00;;;;
FARMAHE, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAHE, spol. s r.o.;0,00;0,00;;;;
wesper pharm, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;wesper pharm, s.r.o.;0,00;0,00;;;;
PHARMACY - KN, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - KN, spol. s r.o.;0,00;0,00;;;;
Phartemide s. r. o.;Humenné;Okres Humenné;Prešovský kraj;Phartemide s. r. o.;0,00;0,00;;;;
Codrington s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Codrington s.r.o.;0,00;0,00;;;;
Dr.Max 72 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 72 s.r.o.;0,00;0,00;;;;
Mgr. Jana Šimorová - Lekáreň Obyce;Nitra;Okres Nitra;Nitriansky kraj;Mgr. Jana Šimorová - Lekáreň Obyce;0,00;0,00;;;;
EKSEN s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;EKSEN s. r. o.;0,00;0,00;;;;
ACIDUS, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;ACIDUS, s. r. o.;0,00;0,00;;;;
SD34 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;SD34 s.r.o.;0,00;0,00;;;;
SD18 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;SD18 s.r.o.;0,00;0,00;;;;
Dr.Max 631 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 631 s.r.o.;0,00;0,00;;;;
ALBAKOM, s.r.o.;Komárno;Okres Komárno;Nitriansky kraj;ALBAKOM, s.r.o.;0,00;0,00;;;;
Medium Pharm, spol. s r. o.;Prešov;Okres Prešov;Prešovský kraj;Medium Pharm, spol. s r. o.;0,00;0,00;;;;
BAPHARM spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;BAPHARM spol. s r.o.;0,00;0,00;;;;
SILMED, s. r. o.;Trenčín;Okres Trenčín;Trenčiansky kraj;SILMED, s. r. o.;0,00;0,00;;;;
Lekáreň ZORNICA, s. r. o.;Bánovce nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky kraj;Lekáreň ZORNICA, s. r. o.;0,00;0,00;;;;
SK Pharm, s. r. o.;Levice;Okres Levice;Nitriansky kraj;SK Pharm, s. r. o.;0,00;0,00;;;;
FARMAVA, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAVA, spol. s r.o.;0,00;0,00;;;;
PHARMACY - PD s.r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - PD s.r.o.;0,00;0,00;;;;
LEKÁREŇ NITRIANSKE RUDNO s. r. o.;Nitrianske Rudno;Okres Prievidza;Trenčiansky kraj;LEKÁREŇ NITRIANSKE RUDNO s. r. o.;0,00;0,00;;;;
Novomedic, s.r.o.;Čadca;Okres Čadca;Žilinský kraj;Novomedic, s.r.o.;0,00;0,00;;;;
NATURAL-STORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;NATURAL-STORE s.r.o.;0,00;0,00;;;;
PHARMAREAL, s. r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;PHARMAREAL, s. r. o.;0,00;0,00;;;;
CO - Medika III, s. r. o.;Nitra;Okres Nitra;Nitriansky kraj;CO - Medika III, s. r. o.;0,00;0,00;;;;
PHARMACY - VV, spol. s r. o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - VV, spol. s r. o.;0,00;0,00;;;;
Fakultná nemocnica Nitra;Nitra;Okres Nitra;Nitriansky kraj;Fakultná nemocnica Nitra;0,00;0,00;;;;
PHARMACY-BR, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-BR, spol. s r.o.;0,00;0,00;;;;
PHARMACY-BL, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-BL, spol. s r.o.;0,00;0,00;;;;
SURLEK, s.r.o.;Šurany;Okres Nové Zámky;Nitriansky kraj;SURLEK, s.r.o.;0,00;0,00;;;;
FARMABLA, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMABLA, spol. s r.o.;0,00;0,00;;;;
TATRAN Prešov, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;TATRAN Prešov, spol. s r.o.;0,00;0,00;;;;
FARMAMEX, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAMEX, spol. s r.o.;0,00;0,00;;;;
PHARMACY-KS, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-KS, spol. s r.o.;0,00;0,00;;;;
PROPHARM s.r.o.;Komárno;Okres Komárno;Nitriansky kraj;PROPHARM s.r.o.;0,00;0,00;;;;
DAM PLUS spol. s.r.o.;Prešov;Okres Prešov;Prešovský kraj;DAM PLUS spol. s.r.o.;0,00;0,00;;;;
FARMIX, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMIX, spol. s r.o.;0,00;0,00;;;;
FARMAPOP, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAPOP, spol. s r.o.;0,00;0,00;;;;
Lekáreň Poľana, s.r.o.;Detva;Okres Detva;Banskobystrický kraj;Lekáreň Poľana, s.r.o.;0,00;0,00;;;;
RASA, s.r.o.;Prešov;Okres Prešov;Prešovský kraj;RASA, s.r.o.;0,00;0,00;;;;
GALVEX, spol. s r.o., PharmDr. Libuše Kamasová;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;GALVEX, spol. s r.o., PharmDr. Libuše Kamasová;0,00;0,00;;;;
Lekáreň Bellis - KE, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;Lekáreň Bellis - KE, spol. s r.o.;0,00;0,00;;;;
RONDEL - TOMSON, s.r.o.;Žilina;Okres Žilina;Žilinský kraj;RONDEL - TOMSON, s.r.o.;0,00;0,00;;;;
PHARMACY-BE, sro - Ing.Schneider;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-BE, sro - Ing.Schneider;0,00;0,00;;;;
TIMED, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;TIMED, s.r.o.;0,00;0,00;;;;
MKpharm, spol. s r. o.;Prešov;Okres Prešov;Prešovský kraj;MKpharm, spol. s r. o.;0,00;0,00;;;;
Farm NM, s. r. o.;Prešov;Okres Prešov;Prešovský kraj;Farm NM, s. r. o.;0,00;0,00;;;;
Farm PK, s. r. o.;Prešov;Okres Prešov;Prešovský kraj;Farm PK, s. r. o.;0,00;0,00;;;;
PHARMACY-SL, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-SL, spol. s r.o.;0,00;0,00;;;;
BIONT, a.s.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;BIONT, a.s.;0,00;0,00;;;;
NATURPRODUKT spol. s r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;NATURPRODUKT spol. s r.o.;0,00;0,00;;;;
TALENT PLUS, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;TALENT PLUS, spol. s r.o.;0,00;0,00;;;;
NATURAL- CARE s.r.o. ;Košice - Juh;Okres Košice IV;Košický kraj;NATURAL- CARE s.r.o. ;0,00;0,00;;;;
RED-PHARMACY s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;RED-PHARMACY s.r.o.;0,00;0,00;;;;
SUN-CARE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;SUN-CARE s.r.o.;0,00;0,00;;;;
GREEN-PHARMACY s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;GREEN-PHARMACY s.r.o.;0,00;0,00;;;;
ABC-STORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;ABC-STORE s.r.o.;0,00;0,00;;;;
Lekáreň Echinacea-Lendak, s. r. o.;Kežmarok;Okres Kežmarok;Prešovský kraj;Lekáreň Echinacea-Lendak, s. r. o.;0,00;0,00;;;;
FARMSOB, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMSOB, spol. s r.o.;0,00;0,00;;;;
VitalPharm, spol. s r. o.;Prešov;Okres Prešov;Prešovský kraj;VitalPharm, spol. s r. o.;0,00;0,00;;;;
Lucia Benediková, NOVOPHARM s.r.o.;Michalovce;Okres Michalovce;Košický kraj;Lucia Benediková, NOVOPHARM s.r.o.;0,00;0,00;;;;
SEVERÍN s.r.o., Ing. Daniel Ondruš;Malacky;Okres Malacky;Bratislavský kraj;SEVERÍN s.r.o., Ing. Daniel Ondruš;0,00;0,00;;;;
Medirex Servis, s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;Medirex Servis, s.r.o.;0,00;0,00;;;;
ASTRA - RBK, s.r.o.;Ružomberok;Okres Ružomberok;Žilinský kraj;ASTRA - RBK, s.r.o.;0,00;0,00;;;;
Lekáreň Mária Terézia - KARA med s.r.o.;Kopčany;Okres Skalica;Trnavský kraj;Lekáreň Mária Terézia - KARA med s.r.o.;0,00;0,00;;;;
"Mgr. Helena Babínová - Lekáreň ""Pri kostole""";Hul;Okres Nové Zámky;Nitriansky kraj;"Mgr. Helena Babínová - Lekáreň ""Pri kostole""";0,00;0,00;;;;
PharmDr.Erika Suchardová-Lekáreň ES;Nové Zámky;Okres Nové Zámky;Nitriansky kraj;PharmDr.Erika Suchardová-Lekáreň ES;0,00;0,00;;;;
Mgr. Anna Valachová;Levice;Okres Levice;Nitriansky kraj;Mgr. Anna Valachová;0,00;0,00;;;;
Lekáreň Idea s.r.o.;Prešov;Okres Prešov;Prešovský kraj;Lekáreň Idea s.r.o.;0,00;0,00;;;;
Verejná lekáreň Polomka s.r.o.;Polomka;Okres Brezno;Banskobystrický kraj;Verejná lekáreň Polomka s.r.o.;0,00;0,00;;;;
Alchemist s.r.o.;Vlkanová;Okres Banská Bystrica;Banskobystrický kraj;Alchemist s.r.o.;0,00;0,00;;;;
MVDr. Igor Rohoň, Farkema Plus s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MVDr. Igor Rohoň, Farkema Plus s.r.o.;0,00;0,00;;;;
FARMAVES, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAVES, spol. s r.o.;0,00;0,00;;;;
Anthemis, s.r.o.;Šišov;Okres Bánovce nad Bebravou;Trenčiansky kraj;Anthemis, s.r.o.;0,00;0,00;;;;
MEDICABLE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;MEDICABLE s.r.o.;0,00;0,00;;;;
HAKRA, s.r.o.;Prešov;Okres Prešov;Prešovský kraj;HAKRA, s.r.o.;0,00;0,00;;;;
FARMABRA, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMABRA, spol. s r.o.;0,00;0,00;;;;
V.R.P. ZDRAVIE s.r.o.;Malacky;Okres Malacky;Bratislavský kraj;V.R.P. ZDRAVIE s.r.o.;0,00;0,00;;;;
KMŠ, s.r.o., Miloslav Chmeliar;Prešov;Okres Prešov;Prešovský kraj;KMŠ, s.r.o., Miloslav Chmeliar;0,00;0,00;;;;
PROTOVIK, s.r.o.;Hucín;Okres Revúca;Banskobystrický kraj;PROTOVIK, s.r.o.;0,00;0,00;;;;
FARMIS, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMIS, spol. s r.o.;0,00;0,00;;;;
INTRAVENA s.r.o.;Prešov;Okres Prešov;Prešovský kraj;INTRAVENA s.r.o.;0,00;0,00;;;;
JOKAS, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;JOKAS, s.r.o.;0,00;0,00;;;;
SyndiPharma spol.s r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;SyndiPharma spol.s r.o.;0,00;0,00;;;;
TEXTIPOL, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;TEXTIPOL, spol. s r.o.;0,00;0,00;;;;
FARMDIS, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMDIS, spol. s r.o.;0,00;0,00;;;;
Zentiva International a.s.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;Zentiva International a.s.;0,00;0,00;;;;
Lekáreň U HIPPOKRATA, spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;Lekáreň U HIPPOKRATA, spol. s r.o.;0,00;0,00;;;;
Nemocnica s poliklinikou Brezno, n.o.;Brezno;Okres Brezno;Banskobystrický kraj;Nemocnica s poliklinikou Brezno, n.o.;0,00;0,00;;;;
Lekáreň Echinacea, s.r.o.;Kežmarok;Okres Kežmarok;Prešovský kraj;Lekáreň Echinacea, s.r.o.;0,00;0,00;;;;
Eleonóra Kalačová;Topoľčany;Okres Topoľčany;Nitriansky kraj;Eleonóra Kalačová;0,00;0,00;;;;
PR Slovakia, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PR Slovakia, spol. s r.o.;0,00;0,00;;;;
APRIAS spol.s r.o.;Prešov;Okres Prešov;Prešovský kraj;APRIAS spol.s r.o.;0,00;0,00;;;;
RC & T  Detva s.r.o.;Detva;Okres Detva;Banskobystrický kraj;RC & T  Detva s.r.o.;0,00;0,00;;;;
"Mgr. Elena Mičeková - Lekáreň ""ZACH""";Šaľa;Okres Šaľa;Nitriansky kraj;"Mgr. Elena Mičeková - Lekáreň ""ZACH""";0,00;0,00;;;;
PharmDr. Jana Zahradníková;Stupava;Okres Malacky;Bratislavský kraj;PharmDr. Jana Zahradníková;0,00;0,00;;;;
MUDr.Slezák OCHRANA ZDRAVIA, s.r.o.;Tornaľa;Okres Revúca;Banskobystrický kraj;MUDr.Slezák OCHRANA ZDRAVIA, s.r.o.;0,00;0,00;;;;
Bc. Jozef Bojčík, Medi Cool s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;Bc. Jozef Bojčík, Medi Cool s.r.o.;0,00;0,00;;;;
LEKÁREŇ HELIANTHA, s.r.o.;Veľký Ďur;Okres Levice;Nitriansky kraj;LEKÁREŇ HELIANTHA, s.r.o.;0,00;0,00;;;;
FARMAKOL spol.s r.o.Ľubotice;Ľubotice;Okres Prešov;Prešovský kraj;FARMAKOL spol.s r.o.Ľubotice;0,00;0,00;;;;
UNICUM spoločnosť s ručením obmedzeným;Svidník;Okres Svidník;Prešovský kraj;UNICUM spoločnosť s ručením obmedzeným;0,00;0,00;;;;
MESTSKÁ LEKÁREŇ, spol. s r.o. Krompachy;Krompachy;Okres Spišská Nová Ves;Košický kraj;MESTSKÁ LEKÁREŇ, spol. s r.o. Krompachy;0,00;0,00;;;;
Pharmacy, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;Pharmacy, spol. s r.o.;0,00;0,00;;;;
Lekáreň MÁRIA, s.r.o.;Rajecké Teplice;Okres Žilina;Žilinský kraj;Lekáreň MÁRIA, s.r.o.;0,00;0,00;;;;
PharmDr. Henrieta Hazuchová;Preseľany;Okres Topoľčany;Nitriansky kraj;PharmDr. Henrieta Hazuchová;0,00;0,00;;;;
PharmDr.Jozef Baliga;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;PharmDr.Jozef Baliga;0,00;0,00;;;;
JERA s.r.o.;Bánov;Okres Nové Zámky;Nitriansky kraj;JERA s.r.o.;0,00;0,00;;;;
FARMLEK s.r.o.;Ľubotice;Okres Prešov;Prešovský kraj;FARMLEK s.r.o.;0,00;0,00;;;;
Medirea s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Medirea s.r.o.;0,00;0,00;;;;
Pharma, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;Pharma, spol. s r.o.;0,00;0,00;;;;
SANTÉ s.r.o.;Prešov;Okres Prešov;Prešovský kraj;SANTÉ s.r.o.;0,00;0,00;;;;
Lekáreň Remedia Košice, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;Lekáreň Remedia Košice, spol. s r.o.;0,00;0,00;;;;
Lekáreň pri Budúcnosti, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;Lekáreň pri Budúcnosti, s.r.o.;0,00;0,00;;;;
Mgr. Elena Greššová, ADONAI s.r.o.;Košice - Sever;Okres Košice I;Košický kraj;Mgr. Elena Greššová, ADONAI s.r.o.;0,00;0,00;;;;
LINGOV s.r.o.;Košice - Sever;Okres Košice I;Košický kraj;LINGOV s.r.o.;0,00;0,00;;;;
MERCIPHARM s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MERCIPHARM s.r.o.;0,00;0,00;;;;
E.P.A. ZDRAVIE, s.r.o.;Rohožník;Okres Malacky;Bratislavský kraj;E.P.A. ZDRAVIE, s.r.o.;0,00;0,00;;;;
TT Pharma, s.r.o.;Šintava;Okres Galanta;Trnavský kraj;TT Pharma, s.r.o.;0,00;0,00;;;;
Farmaplus, spoločnosť s ručením obmedzeným;Prešov;Okres Prešov;Prešovský kraj;Farmaplus, spoločnosť s ručením obmedzeným;0,00;0,00;;;;
FARMALEX, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMALEX, spol. s r.o.;0,00;0,00;;;;
ARNICA PLUS, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;ARNICA PLUS, spol. s r.o.;0,00;0,00;;;;
MIRACULUM, s.r.o.;Detva;Okres Detva;Banskobystrický kraj;MIRACULUM, s.r.o.;0,00;0,00;;;;
Farmex, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;Farmex, spol. s r.o.;0,00;0,00;;;;
Farmsvik, spol. s ručením obmedzeným Prešov;Prešov;Okres Prešov;Prešovský kraj;Farmsvik, spol. s ručením obmedzeným Prešov;0,00;0,00;;;;
PharmDr. Zoltán Horňák, GRAPHITES s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;PharmDr. Zoltán Horňák, GRAPHITES s.r.o.;0,00;0,00;;;;
BELMEDIKA, s.r.o.;Beluša;Okres Púchov;Trenčiansky kraj;BELMEDIKA, s.r.o.;0,00;0,00;;;;
MED-FER, s.r.o.-Mgr.Ľuboš Ferenec;Trenčín;Okres Trenčín;Trenčiansky kraj;MED-FER, s.r.o.-Mgr.Ľuboš Ferenec;0,00;0,00;;;;
HEALTHSTORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;HEALTHSTORE s.r.o.;0,00;0,00;;;;
DRUGMARKET s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;DRUGMARKET s.r.o.;0,00;0,00;;;;
DOM ZDRAVIA Michalovce s.r.o.;Michalovce;Okres Michalovce;Košický kraj;DOM ZDRAVIA Michalovce s.r.o.;0,00;0,00;;;;
Mgr. Peter Vaľko;Tornaľa;Okres Revúca;Banskobystrický kraj;Mgr. Peter Vaľko;0,00;0,00;;;;
MEDIPHARM, s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MEDIPHARM, s.r.o.;0,00;0,00;;;;
GALENOS SP, s.r.o., Mgr. Široký Pavol;Stropkov;Okres Stropkov;Prešovský kraj;GALENOS SP, s.r.o., Mgr. Široký Pavol;0,00;0,00;;;;
Ing. Iveta Janeková, PPK, s.r.o.;Turňa nad Bodvou;Okres Košice - okolie;Košický kraj;Ing. Iveta Janeková, PPK, s.r.o.;0,00;0,00;;;;
Špecializovaná nemocnica sv.Svorada Zobor,n.o.;Nitra;Okres Nitra;Nitriansky kraj;Špecializovaná nemocnica sv.Svorada Zobor,n.o.;0,00;0,00;;;;
Detská fakultná nemocnica Košice;Košice - Západ;Okres Košice II;Košický kraj;Detská fakultná nemocnica Košice;0,00;0,00;;;;
AUDIOFON, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;AUDIOFON, s.r.o.;0,00;0,00;;;;
PHARMACY-KE, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-KE, spol. s r.o.;0,00;0,00;;;;
Medirex, a.s.;Pezinok;Okres Pezinok;Bratislavský kraj;Medirex, a.s.;0,00;0,00;;;;
Pharmeco, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;Pharmeco, s.r.o.;0,00;0,00;;;;
PHARMACY - PO, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - PO, spol. s r.o.;0,00;0,00;;;;
PHARMACY - JL, spol. s r.o., Ing. Karol Schneider;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - JL, spol. s r.o., Ing. Karol Schneider;0,00;0,00;;;;
Radvanská lekáreň, spol. s r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;Radvanská lekáreň, spol. s r.o.;0,00;0,00;;;;
Farmamed, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;Farmamed, spol. s r.o.;0,00;0,00;;;;
PHARMAHOLDING M - A., spol. s r.o.;Nitra;Okres Nitra;Nitriansky kraj;PHARMAHOLDING M - A., spol. s r.o.;0,00;0,00;;;;
IKpharm, spol. s r. o.;Prešov;Okres Prešov;Prešovský kraj;IKpharm, spol. s r. o.;0,00;0,00;;;;
7R PANMED, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;7R PANMED, s.r.o.;0,00;0,00;;;;
APAOMA, s. r. o.;Prešov;Okres Prešov;Prešovský kraj;APAOMA, s. r. o.;0,00;0,00;;;;
DROP-STORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;DROP-STORE s.r.o.;0,00;0,00;;;;
Falck Healthcare a.s.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;Falck Healthcare a.s.;0,00;0,00;;;;
PHARMACY - STL, spol. s r. o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - STL, spol. s r. o.;0,00;0,00;;;;
Lekáreň Lamač, ANGE s.r.o.;Bratislava - Lamač;Okres Bratislava IV;Bratislavský kraj;Lekáreň Lamač, ANGE s.r.o.;0,00;0,00;;;;
HROMSAN, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;HROMSAN, s.r.o.;0,00;0,00;;;;
BAX PHARMA, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;BAX PHARMA, s.r.o.;0,00;0,00;;;;
PROTECH plus, spol. s r.o.;Nové Zámky;Okres Nové Zámky;Nitriansky kraj;PROTECH plus, spol. s r.o.;0,00;0,00;;;;
PHARMACY-BA, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-BA, spol. s r.o.;0,00;0,00;;;;
FARMASAB, spol. s r. o.;Prešov;Okres Prešov;Prešovský kraj;FARMASAB, spol. s r. o.;0,00;0,00;;;;
ORTOTECH, spol. s r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;ORTOTECH, spol. s r.o.;0,00;0,00;;;;
MEDICENTRUM BREZNO s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;MEDICENTRUM BREZNO s.r.o.;0,00;0,00;;;;
CITYPHARM, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;CITYPHARM, s.r.o.;0,00;0,00;;;;
